"1624006317261348864 2023-02-10 11:24:13 +0000 <jess_sosnoski> @CHRISsW0RLD @The_Trump_Train @dan_mcnichols @Atheen_ @thandar324 @V_Hawtmess1 @SheriCarter18 @DanielKlatt @NavinJohnson @tooosunny @StevieaB @jess_sosnoski @xephula @finaltelegraph @americadefiant #trump #freespeech #socialmedia #video #patriot Trump/patriot-friendly free speech social media &amp; video sites... -  https://t.co/zqpIQuTkmA
",Text,Positive Emojis,Negative Emojis,Sentiment Score,Sentiment
"1623711793662119937 2023-02-09 15:53:53 +0000 <TruppetBS> @ChristiansSTDT Trump is slug poop, and those are his good points. McCarthy is a Truppet, he has no good points. Gaetz is Truppet poop. MTG doesn't have enough substance to be poop. IMO #Truppets
",truppetbs trump is slug poop and those are his good points mccarthy is a truppet he has no good points gaetz is truppet poop mtg doesnt have enough substance to be poop imo truppets,0,0,0.5574,positive
"1623281892014592000 2023-02-08 11:25:36 +0000 <woundedsoul22> @NavyCaptRet63XX @CollinRugg They’ve given us record low inflation rates, no war, limited immigration and awesome tax reforms which were repealed in 2021 and blamed on trump. Kys
",woundedsoul they’ve given us record low inflation rates no war limited immigration and awesome tax reforms which were repealed in and blamed on trump kys,0,0,-0.7964,negative
"1622920753912901632 2023-02-07 11:30:34 +0000 <Gary_white6208> Donald Trump will Run and Win in 2024
",garywhite donald trump will run and win in,0,0,0.5859,positive
"1623291342741807106 2023-02-08 12:03:10 +0000 <DennisH85126239> Was it under Trump
",dennish was it under trump,0,0,0.0,neutral
"1623436102890827777 2023-02-08 21:38:23 +0000 <pleasure74> @MissAngSays @LBSamuelsson @phalarope @alxellt0308 @WifeySpice90 @KlitzingChris @SuckIt_Trump @june_heinz @SassQueen04 @ChrisToTheW @Juliethewarrior @BeckiJr @CamiLee13 @jillAPRN @JoKeRToyHunter @Momof2in1year @LaurVoted4Biden @Limmered @SageSaysHi I'm just trying to survive my last 20 minutes at work
",pleasure im just trying to survive my last minutes at work,0,0,0.5719,positive
"1623341804241264641 2023-02-08 15:23:41 +0000 <AnarchistMary> @FOX59 Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackma
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackma,0,0,-0.4019,negative
"1622985112328568834 2023-02-07 15:46:19 +0000 <rip240sx> @PrimeMinister71 @ItsADreamDumDum @HardyOnTheBeach @sher_db @MadeInTheUSANJ @laurenboebert How did hiding hunters corruption filled, pedo filled, and content of him doing drugs with prostitutes laptop protect Donald Trump?
",ripsx how did hiding hunters corruption filled pedo filled and content of him doing drugs with prostitutes laptop protect donald trump,0,0,0.1027,positive
"1622975251977228288 2023-02-07 15:07:08 +0000 <chathamharrison> The tipping point was Donald McNeil's firing; these people have always considered themselves at the forefront of diversity &amp; tolerance &amp; fairness, but if doing so threatens their jobs, we're going to hear about it
",chathamharrison the tipping point was donald mcneils firing these people have always considered themselves at the forefront of diversity amp tolerance amp fairness but if doing so threatens their jobs were going to hear about it,0,0,-0.6858,negative
"1623640528267972610 2023-02-09 11:10:42 +0000 <oskar_lothbrok> @ZeekArkham @FLVoiceNews Trump is blowing it w/r to DeSantis.  He should be slinging mud solely at Democrats.  When he goes after DeSantis he looks petty, childish and insecure.  And I liked Trump.  But if he keeps it up, he’ll lose his support from a lot of people.  Unforced Error.
",oskarlothbrok trump is blowing it wr to desantis he should be slinging mud solely at democrats when he goes after desantis he looks petty childish and insecure and i liked trump but if he keeps it up he’ll lose his support from a lot of people unforced error,0,0,-0.6757,negative
"1622971876057423872 2023-02-07 14:53:43 +0000 <N09434002> 142/7➡️365/10, vs 🇦🇫, Abu Dhabi 2021 147/6 ➡️379/9d, vs🏝️, Bulawayo 2023  Gary Balance and Brandon Mavuta have recreated the Sean Willams-Donald Tiripano feat👏👏  https://t.co/IV7tInApUs
",n ➡️ vs 🇦🇫 abu dhabi ➡️d vs🏝️ bulawayo gary balance and brandon mavuta have recreated the sean willamsdonald tiripano feat👏👏,2,0,2.0,positive
"1623705227332395008 2023-02-09 15:27:47 +0000 <MNecomb> @SoulardJohn It's an Ivanka Trump prototype throw away LOL
",mnecomb its an ivanka trump prototype throw away lol,0,0,0.4215,positive
"1623353189008384000 2023-02-08 16:08:55 +0000 <santo_aol> Trouble in MAGA world: Crucial Trump ally loses 'key asset'  https://t.co/b5JyaIjJzn
",santoaol trouble in maga world crucial trump ally loses key asset,0,0,-0.3612,negative
"1623997812462551040 2023-02-10 10:50:25 +0000 <AnarchistMary> @ChuckRossDC Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackmailing the GOP with? Please find out.
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackmailing the gop with please find out,0,0,-0.1027,negative
"1623700618123550720 2023-02-09 15:09:28 +0000 <ncguy1420> Trump offers DNA sample in rape case -- but legal experts think he's 'playing a game'  https://t.co/YrmHLWgxOf
",ncguy trump offers dna sample in rape case but legal experts think hes playing a game,0,0,0.0258,positive
"1622992760277024770 2023-02-07 16:16:42 +0000 <HEY_MEN_412> @DonChed54 @ChrisMuellerPGH @ThePoniExpress Remember where you heard it, Donald.
",heymen remember where you heard it donald,0,0,0.0,neutral
"1623395204270026753 2023-02-08 18:55:52 +0000 <GardinerIsland> They also demanded you believe Trump  colluded with Putin even though they knew @HillaryClinton paid to create the story  All  now proven lies lies lies   Then  they act  outraged you question #DementiaJoe getting 81mln votes when his far more popular boss Obama only got 70mln
",gardinerisland they also demanded you believe trump colluded with putin even though they knew paid to create the story all now proven lies lies lies then they act outraged you question dementiajoe getting mln votes when his far more popular boss obama only got mln,0,0,-0.8228,negative
"1623299594162688000 2023-02-08 12:35:57 +0000 <ashleyseidel> @laurenboebert @JoeBiden I’m so sorry PornHub didn’t let you do some a Trump AR-15 photo shoot.
",ashleyseidel i’m so sorry pornhub didn’t let you do some a trump ar photo shoot,0,0,-0.4838,negative
"1623298593607061509 2023-02-08 12:31:58 +0000 <AnarchistMary> @TransMediaWatch Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackmailing the GOP with? Please find out.
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackmailing the gop with please find out,0,0,-0.1027,negative
"1623300880194846724 2023-02-08 12:41:03 +0000 <AnarchistMary> @NBCNightlyNews @nbcchicago Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackmailing the GOP with? Please find out.
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackmailing the gop with please find out,0,0,-0.1027,negative
"1623407390686076929 2023-02-08 19:44:18 +0000 <MahaSoxFan> @craigleidheiser @CemeteryGuide @emilymiller @alanhe Right, he was still trying to clean up Trump’s clusterfk.
",mahasoxfan right he was still trying to clean up trump’s clusterfk,0,0,0.4019,positive
"1622945644846411778 2023-02-07 13:09:29 +0000 <TsalagiOK> Donald Trump melts down after President Biden absolutely nails it  https://t.co/ivTGtvsuOC via @PalmerReport
",tsalagiok donald trump melts down after president biden absolutely nails it via,0,0,0.0,neutral
"1623312448156573697 2023-02-08 13:27:01 +0000 <tuvya68> @BlackKnight10k No, that was Trump and that was one of the few things he did right
",tuvya no that was trump and that was one of the few things he did right,0,0,-0.296,negative
"1622950602580848641 2023-02-07 13:29:11 +0000 <josepili2000> Martin Carrie Hulda Clark(e) Donald Burke #盗QQ号 #飞机/动车信息 #行车记录  https://t.co/kheQB8wJdK
",josepili martin carrie hulda clarke donald burke 盗qq号 飞机动车信息 行车记录,0,0,0.0,neutral
"1623312735592390657 2023-02-08 13:28:10 +0000 <homeeducationc2> Watching Donald Trump Responds to State of the Union Address @CSPAN  https://t.co/O1Gh15B7Jv
",homeeducationc watching donald trump responds to state of the union address,0,0,0.0,neutral
"1622908026150866944 2023-02-07 10:40:00 +0000 <TrueVoice200> Donald Trump has a greater favorability rating than Biden by 9 percentage   https://t.co/O0MQRExmgl
",truevoice donald trump has a greater favorability rating than biden by percentage,0,0,0.3612,positive
"1624011498019336193 2023-02-10 11:44:48 +0000 <Punknews4> @UOLNoticias Trump ta voltando  https://t.co/1JKfM5Qg4x
",punknews trump ta voltando,0,0,0.0,neutral
"1623646310187380738 2023-02-09 11:33:40 +0000 <17QTheDon> @The_Trump_Train Yes
",qthedon yes,0,0,0.4019,positive
"1623349845774725120 2023-02-08 15:55:38 +0000 <robinh7391> WATCH: Trump Reveals ‘Real State of the Union’ in Biden Rebuttal  https://t.co/vjYvUhpaPn via @TheFirstonTV
",robinh watch trump reveals ‘real state of the union’ in biden rebuttal via,0,0,0.0,neutral
"1623330199851917312 2023-02-08 14:37:34 +0000 <ColinTylney> @Gaillovesgolf @JebraFaushay That picture ought be of Trump the criminal.
",colintylney that picture ought be of trump the criminal,0,0,-0.5267,negative
"1623695908507463685 2023-02-09 14:50:46 +0000 <MarineauMary> Trump DEMANDED Twitter Delete This Tweet From Chrissy Teigen  https://t.co/nqUuhEHPrj via @YouTube
",marineaumary trump demanded twitter delete this tweet from chrissy teigen via,0,0,-0.2263,negative
"1623998472163663875 2023-02-10 10:53:02 +0000 <AnarchistMary> @ReporterFaith Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackmailing the GOP with? Please find out.
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackmailing the gop with please find out,0,0,-0.1027,negative
"1624000201303158785 2023-02-10 10:59:55 +0000 <lmcplc20169> @MichaelZiemke @mitchellvii Sadly it is not always. Trump needs more discipline in his msging .
",lmcplc sadly it is not always trump needs more discipline in his msging,0,0,-0.4215,negative
"1623310521280741380 2023-02-08 13:19:22 +0000 <nnwajei> @SpeakerMcCarthy @SarahHuckabee Indict these traitors:  Indict Donald Trump Indict Ted Cruz Indict Josh Hawley Indict Kevin McCarthy Indict Lindsey Graham Indict Mo Brooks Indict Ron Johnson Indict Louis Gohmert. Indict Jim Jordan Indict Matt Gaetz Indict Lauren Boebert Indict MTG Indict Paul Gosar   Retweet
",nnwajei indict these traitors indict donald trump indict ted cruz indict josh hawley indict kevin mccarthy indict lindsey graham indict mo brooks indict ron johnson indict louis gohmert indict jim jordan indict matt gaetz indict lauren boebert indict mtg indict paul gosar retweet,0,0,0.0,neutral
"1622938126925590529 2023-02-07 12:39:36 +0000 <dawidkowalski84> Donald Tusk jest jak stara wdowa na wydaniu.  Nikt jej nie chcę bo każdy potencjalny zalotnik wie, że zjada żywcem swoich partnerów😁
",dawidkowalski donald tusk jest jak stara wdowa na wydaniu nikt jej nie chcę bo każdy potencjalny zalotnik wie że zjada żywcem swoich partnerów😁,1,0,1.0,positive
"1623329388904304642 2023-02-08 14:34:20 +0000 <JoJoGot2go> @RpsAgainstTrump I say again Trump lives way too much in your leftist noggin- rent free. Trump is done- put a fork in him  MIKE POMPEO FOR POTUS- He checks all the best blocks
",jojogotgo i say again trump lives way too much in your leftist noggin rent free trump is done put a fork in him mike pompeo for potus he checks all the best blocks,0,0,0.765,positive
"1622972944896131072 2023-02-07 14:57:58 +0000 <AnarchistMary> @RepNikema Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackmailing the GOP with? Please find out.
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackmailing the gop with please find out,0,0,-0.1027,negative
"1623343197895229441 2023-02-08 15:29:13 +0000 <AnarchistMary> @wicztv Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackma
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackma,0,0,-0.4019,negative
"1623337948958654469 2023-02-08 15:08:21 +0000 <DVa_inNC> @Biz_Ukraine_Mag Isn't that the guy MTG adultered with? I'm sure of it. She set up this interview for him since Trump is now her bff phone buddy.
",dvainnc isnt that the guy mtg adultered with im sure of it she set up this interview for him since trump is now her bff phone buddy,0,0,0.7351,positive
"1622966529137512448 2023-02-07 14:32:28 +0000 <LipstickRacing> @BeatTheB00kies2 Rich you’ve got to think like a trainer, that horse had so much many advantages ,take a bowl Donald McCain jnr!  https://t.co/tEVfUJQEG0
",lipstickracing rich you’ve got to think like a trainer that horse had so much many advantages take a bowl donald mccain jnr,0,0,0.8344,positive
"1623335990734516224 2023-02-08 15:00:34 +0000 <lewisjelah> @RepMattGaetz Trump? Gaetz? MTG Boebert Gosar George Santos?
",lewisjelah trump gaetz mtg boebert gosar george santos,0,0,0.0,neutral
"1623372218431594497 2023-02-08 17:24:32 +0000 <NoMAGAallowed> @ImSpeaking13 And let's not forget. She knows that Trump was court ordered to give  his DNA in the E. Jean Carroll rape case long ago and has still not complied.
",nomagaallowed and lets not forget she knows that trump was court ordered to give his dna in the e jean carroll rape case long ago and has still not complied,0,0,-0.6167,negative
"1623345368095408129 2023-02-08 15:37:50 +0000 <margueritte_T> Biden Coddled by DOJ/FBI While Trump Abused!  https://t.co/qAS5EYfbHC via @YouTube
",marguerittet biden coddled by dojfbi while trump abused via,0,0,-0.5106,negative
"1623294728908292099 2023-02-08 12:16:37 +0000 <cecomp> #AMERICA to ensure REAL news get out!! #gazette #news #daily #tribune #herald #star #times #chronicle #bulletin #post #inquirer #dispatch #record #courier #sun #opinion #city #maga #trump #trumpist remember: 3 chinese spy balloons during tfg's Admin.
",cecomp america to ensure real news get out gazette news daily tribune herald star times chronicle bulletin post inquirer dispatch record courier sun opinion city maga trump trumpist remember chinese spy balloons during tfgs admin,0,0,0.3818,positive
"1623288983747796992 2023-02-08 11:53:47 +0000 <Benito35ddDavis> @mehdirhasan @anthonyhouserva @tiktok_us Trump team in action
",benitodddavis trump team in action,0,0,0.0,neutral
"1623695580798107649 2023-02-09 14:49:27 +0000 <BFlintstone4> @Lorri88042063 @The_Trump_Train And you speak only for yourself, and you don't like it. You don't have to trash everyone you disagree with. This is part of the Karen problem in America
",bflintstone and you speak only for yourself and you dont like it you dont have to trash everyone you disagree with this is part of the karen problem in america,0,0,-0.7514,negative
"1622987830162079752 2023-02-07 15:57:07 +0000 <AnarchistMary> @gregstantonaz Can you look into what the CIA know about the RNC hack? They were hacked at the same time as the DNC when Hillary’s emails were released. Ever since the RNC hack, the entire GOP has been in lock step with Donald Trump. What is Putin blackmailing the GOP with? Please find out.
",anarchistmary can you look into what the cia know about the rnc hack they were hacked at the same time as the dnc when hillary’s emails were released ever since the rnc hack the entire gop has been in lock step with donald trump what is putin blackmailing the gop with please find out,0,0,-0.1027,negative
"1623262446524694528 2023-02-08 10:08:20 +0000 <magnoliafarm> @The_Trump_Train NO
",magnoliafarm no,0,0,-0.296,negative
"1623314420976713728 2023-02-08 13:34:52 +0000 <SuziSaul> @Whatonearthhey @LauraLoomer This is soooo dishonest. Incredibly dishonest. DeSantis voted YEA on H. R. 4760, which was the original bill...the bill Trump supported!!!! H.R. 6136 was the COMPROMISE bill written by moderates and RINOs
",suzisaul this is soooo dishonest incredibly dishonest desantis voted yea on h r which was the original billthe bill trump supported hr was the compromise bill written by moderates and rinos,0,0,-0.5859,negative
"1622979516736888834 2023-02-07 15:24:04 +0000 <LaurLethPer> @EvasTeslaSPlaid @elonmusk Never bet against Elon. Remember what happened to crooks like Putin and Donald, trying to fxck with Elon. 🇺🇦😎💙
",laurlethper never bet against elon remember what happened to crooks like putin and donald trying to fxck with elon 🇺🇦😎💙,1,0,1.3612,positive
"1623718983944790017 2023-02-09 16:22:27 +0000 <NYMammoths> @chrislhayes It blew it by not writing love letters to Trump.
",nymammoths it blew it by not writing love letters to trump,0,0,-0.5216,negative
"1623988857724194820 2023-02-10 10:14:50 +0000 <notnotmedvedev> My political journey: -Maybe Trump good and gays bad... -I heckin love homosexuals -Adolf Hitler incarnate
",notnotmedvedev my political journey maybe trump good and gays bad i heckin love homosexuals adolf hitler incarnate,0,0,0.5574,positive
"1623338514875138049 2023-02-08 15:10:36 +0000 <CarolynBecking2> I just signed a @commoncause petition: Fire Donald Trump's handpicked Postmaster General Louis DeJoy. Sign here:  https://t.co/9JYCiUlxDs
",carolynbecking i just signed a petition fire donald trumps handpicked postmaster general louis dejoy sign here,0,0,-0.34,negative
"1623327428000256002 2023-02-08 14:26:33 +0000 <Kits541> Yes please! #Trump
",kits yes please trump,0,0,0.6124,positive
"1623270070976761859 2023-02-08 10:38:38 +0000 <LeftSideStrong5> @nypost Trump’s hero ⬆️
",leftsidestrong trump’s hero ⬆️,0,0,0.5574,positive
"1623340153946112002 2023-02-08 15:17:07 +0000 <LindaA17442895> Trump's 'Real State of the Union': 'Crisis, Calamity, and Disaster'  https://t.co/GBjv0L0bsB
",lindaa trumps real state of the union crisis calamity and disaster,0,0,-0.8481,negative
"1623339187008073728 2023-02-08 15:13:17 +0000 <exagerationsor> @charliekirk11 Huckabee addresses Trump presidential campaign. Time for a new younger generation of republicans, the choice is between crazy and normal. We agree we need a new Republican leadership. TN strong 💪
",exagerationsor huckabee addresses trump presidential campaign time for a new younger generation of republicans the choice is between crazy and normal we agree we need a new republican leadership tn strong 💪,0,0,0.5267,positive
"1623688600037519360 2023-02-09 14:21:43 +0000 <lancelyons> @SpaceX @elonmusk Elon pushes propaganda and his twitter dump never shows all the Republican trump admin requests for censorship of tweets.  Why not release all the Republican requests chief twit?   https://t.co/XFH7oJ7Kyf
",lancelyons elon pushes propaganda and his twitter dump never shows all the republican trump admin requests for censorship of tweets why not release all the republican requests chief twit,0,0,-0.5574,negative
"1623332409969352705 2023-02-08 14:46:21 +0000 <bookschannel> 572回目noteにupさせて頂きました。 【本屋物語】02月08日号 本日のcheck | marianne～ | #WorldWarIII #Trump 他｜Books Channel @bookschannel #note  https://t.co/UyMU5pCzR0
",bookschannel 回目noteにupさせて頂きました。 【本屋物語】月日号 本日のcheck marianne～ worldwariii trump 他｜books channel note,0,0,0.0,neutral
"1623349434326126593 2023-02-08 15:54:00 +0000 <ConfusedPOLs> @WalshFreedom Trump left 1.4% inflation, 6.7% GDP &amp; secure border.  Biden &amp; dems created inflation rates of 8.5% CPI &amp; 11.3% PPI, a recession w/2 quarters of negative GDP, record high gas prices, 6.5+ million illegals, record 100k/yr fentanyl deaths, no new jobs, &amp; will fire 3M energy workers.
",confusedpols trump left inflation gdp amp secure border biden amp dems created inflation rates of cpi amp ppi a recession w quarters of negative gdp record high gas prices million illegals record kyr fentanyl deaths no new jobs amp will fire m energy workers,0,0,-0.6808,negative
"1623325015226609664 2023-02-08 14:16:58 +0000 <realBollWeevil> BREAKING: DOJ makes SHOCKING Move on Trump Stolen Documents  https://t.co/SIZ5A29DL7 via @YouTube
",realbollweevil breaking doj makes shocking move on trump stolen documents via,0,0,-0.7096,negative
"1623705104162381831 2023-02-09 15:27:18 +0000 <RosDMac> @GOP Trump business associates who were banned from U.S. Government contracts in 1990 due to defrauding government, were suddenly added back and eligible to bid on government contracts (F.O.I.A.), organized by VP Pence, who trump gave green light J6 to hang, office.
",rosdmac trump business associates who were banned from us government contracts in due to defrauding government were suddenly added back and eligible to bid on government contracts foia organized by vp pence who trump gave green light j to hang office,0,0,-0.4588,negative
"1623399471534022656 2023-02-08 19:12:49 +0000 <D00mPaul> @RealBrysonGray He's a liar. He literally has campaign employees spending their time thinking of ways to smear Trump.
",dmpaul hes a liar he literally has campaign employees spending their time thinking of ways to smear trump,0,0,-0.7003,negative
"1623330601716809728 2023-02-08 14:39:10 +0000 <AlexMonroe583> @Carogojo @POTUS Yep, its all Trumps fault. 🙄 Oh, and don't forget the next brainwashing session begins at 5:00 on CNN. Hurry up dont want to miss it!!
",alexmonroe yep its all trumps fault 🙄 oh and dont forget the next brainwashing session begins at on cnn hurry up dont want to miss it,0,1,-1.276,negative
